Dataset,Strategy,IS_Sharpe,N_Trials,Grid_Search_s,risk_aversion,upper_bound,lower_bound,diversification_factor,mixture_factor,alpha
Dow_Jones_30 - Daily,EW,,0,0.0,,,,,,
Dow_Jones_30 - Daily,GMV,,0,0.0,,,,,,
Dow_Jones_30 - Daily,GMR,,0,0.0,,,,,,
Dow_Jones_30 - Daily,MD,,0,0.0,,,,,,
Dow_Jones_30 - Daily,MV,0.6892772195289459,3,3.189046621322632,0.5,,,,,
Dow_Jones_30 - Daily,MSV,1.0598165851263612,5,53.830376625061035,0.5,,,,,
Dow_Jones_30 - Daily,SemiV,0.7634062215915945,5,5.437800407409668,0.9,,,,,
Dow_Jones_30 - Daily,WUBC,0.7531426870889247,9,9.24509596824646,0.5,0.3,,,,
Dow_Jones_30 - Daily,WLBC,0.9435771300988719,9,8.276135921478271,0.5,,0.05,,,
Dow_Jones_30 - Daily,WUBC_Alt,0.9435771300988719,27,24.590033531188965,0.5,0.1,0.05,,,
Dow_Jones_30 - Daily,FSD,,0,0.0,,,,,,
Dow_Jones_30 - Daily,SSD,,0,0.0,,,,,,
Dow_Jones_30 - Daily,SRF_LP,,0,0.0,,,,,,
Dow_Jones_30 - Daily,DMV,0.6735852191388133,9,9.43662428855896,0.5,,,0.1,,
Dow_Jones_30 - Daily,DMV_Yager,0.9435771288042064,9,12.188066959381104,0.5,,,2.0,,
Dow_Jones_30 - Daily,DMV_Return,0.7953319691538268,9,9.657067060470581,0.5,,,2.0,,
Dow_Jones_30 - Daily,DMV_Vars,0.7399065729092633,9,9.432463884353638,10.0,,,2.0,,
Dow_Jones_30 - Daily,EWMV,0.9675108264093543,15,15.36310887336731,0.5,,,,0.1,
Dow_Jones_30 - Daily,RP,,0,0.0,,,,,,
Dow_Jones_30 - Daily,HRP,,0,0.0,,,,,,
Dow_Jones_30 - Daily,CVaR,0.3054405849671444,3,10.201221704483032,,,,,,0.99
Dow_Jones_30 - Daily,MAD,0.47451043088986067,3,26.692363023757935,10.0,,,,,
