Dataset,Strategy,IS_Sharpe,N_Trials,Grid_Search_s,risk_aversion,upper_bound,lower_bound,diversification_factor,mixture_factor,alpha
Dow_Jones_30 - Monthly,EW,,0,0.0,,,,,,
Dow_Jones_30 - Monthly,GMV,,0,0.0,,,,,,
Dow_Jones_30 - Monthly,GMR,,0,0.0,,,,,,
Dow_Jones_30 - Monthly,MD,,0,0.0,,,,,,
Dow_Jones_30 - Monthly,MV,0.7982466669375894,3,0.12267184257507324,2.0,,,,,
Dow_Jones_30 - Monthly,MSV,1.314296620894151,5,52.643532514572144,0.7,,,,,
Dow_Jones_30 - Monthly,SemiV,0.8108929546026923,5,0.5586380958557129,0.9,,,,,
Dow_Jones_30 - Monthly,WUBC,1.10608534687589,9,1.3978657722473145,10.0,0.1,,,,
Dow_Jones_30 - Monthly,WLBC,0.9728738143876143,9,1.1019442081451416,2.0,,0.02,,,
Dow_Jones_30 - Monthly,WUBC_Alt,1.0179242532882293,27,3.2515146732330322,10.0,0.1,0.01,,,
Dow_Jones_30 - Monthly,FSD,,0,0.0,,,,,,
Dow_Jones_30 - Monthly,SSD,,0,0.0,,,,,,
Dow_Jones_30 - Monthly,SRF_LP,,0,0.0,,,,,,
Dow_Jones_30 - Monthly,DMV,0.9190574346855086,9,1.0258586406707764,10.0,,,0.5,,
Dow_Jones_30 - Monthly,DMV_Yager,0.9181378058764941,9,1.3654296398162842,0.5,,,2.0,,
Dow_Jones_30 - Monthly,DMV_Return,0.8388895322499875,9,1.4356834888458252,10.0,,,2.0,,
Dow_Jones_30 - Monthly,DMV_Vars,0.8936059686407498,9,1.0168089866638184,10.0,,,2.0,,
Dow_Jones_30 - Monthly,EWMV,0.9492883265186762,15,1.6181538105010986,0.5,,,,0.1,
Dow_Jones_30 - Monthly,RP,,0,0.0,,,,,,
Dow_Jones_30 - Monthly,HRP,,0,0.0,,,,,,
Dow_Jones_30 - Monthly,CVaR,0.8664537715864092,3,0.4610278606414795,,,,,,0.9
Dow_Jones_30 - Monthly,MAD,0.8459568888947235,3,0.4226536750793457,10.0,,,,,
