Dataset,Strategy,IS_Sharpe,N_Trials,Grid_Search_s,risk_aversion,upper_bound,lower_bound,diversification_factor,mixture_factor,alpha
Global_ETFs - Daily,EW,,0,0.0,,,,,,
Global_ETFs - Daily,GMV,,0,0.0,,,,,,
Global_ETFs - Daily,GMR,,0,0.0,,,,,,
Global_ETFs - Daily,MD,,0,0.0,,,,,,
Global_ETFs - Daily,MV,0.32367404284757834,3,5.795790672302246,10.0,,,,,
Global_ETFs - Daily,MSV,1.0823154653131104,5,21.324504613876343,0.5,,,,,
Global_ETFs - Daily,SemiV,-0.015850377906620246,5,9.516479969024658,0.5,,,,,
Global_ETFs - Daily,WUBC,0.8310466107630042,9,16.230902671813965,10.0,0.1,,,,
Global_ETFs - Daily,WLBC,0.8506645369837907,9,16.07452940940857,10.0,,0.05,,,
Global_ETFs - Daily,WUBC_Alt,0.8539530214707923,27,48.60642743110657,10.0,0.3,0.05,,,
Global_ETFs - Daily,FSD,,0,0.0,,,,,,
Global_ETFs - Daily,SSD,,0,0.0,,,,,,
Global_ETFs - Daily,SRF_LP,,0,0.0,,,,,,
Global_ETFs - Daily,DMV,0.7369233444482723,9,16.270635843276978,0.5,,,2.0,,
Global_ETFs - Daily,DMV_Yager,0.8330710285242365,9,20.461165189743042,0.5,,,2.0,,
Global_ETFs - Daily,DMV_Return,0.5023340739266763,9,16.97914218902588,10.0,,,2.0,,
Global_ETFs - Daily,DMV_Vars,0.7453073260699584,9,17.01617932319641,10.0,,,2.0,,
Global_ETFs - Daily,EWMV,0.8185219838898417,15,27.004379749298096,10.0,,,,0.1,
Global_ETFs - Daily,RP,,0,0.0,,,,,,
Global_ETFs - Daily,HRP,,0,0.0,,,,,,
Global_ETFs - Daily,CVaR,0.9787904421609979,3,19.49916982650757,,,,,,0.95
Global_ETFs - Daily,MAD,0.9129166421948214,3,47.93536162376404,10.0,,,,,
