Dataset,Strategy,IS_Sharpe,N_Trials,Grid_Search_s,risk_aversion,upper_bound,lower_bound,diversification_factor,mixture_factor,alpha
Global_ETFs - Monthly,EW,,0,0.0,,,,,,
Global_ETFs - Monthly,GMV,,0,0.0,,,,,,
Global_ETFs - Monthly,GMR,,0,0.0,,,,,,
Global_ETFs - Monthly,MD,,0,0.0,,,,,,
Global_ETFs - Monthly,MV,0.40920479994892067,3,0.20248866081237793,10.0,,,,,
Global_ETFs - Monthly,MSV,1.1450030626025187,5,21.86168646812439,0.5,,,,,
Global_ETFs - Monthly,SemiV,-0.014809522641700367,5,0.32885169982910156,0.9,,,,,
Global_ETFs - Monthly,WUBC,0.8516479130303544,9,0.5952320098876953,10.0,0.1,,,,
Global_ETFs - Monthly,WLBC,0.7040133099324556,9,0.6215100288391113,2.0,,0.05,,,
Global_ETFs - Monthly,WUBC_Alt,0.8618594584864024,27,1.7703089714050293,10.0,0.1,0.01,,,
Global_ETFs - Monthly,FSD,,0,0.0,,,,,,
Global_ETFs - Monthly,SSD,,0,0.0,,,,,,
Global_ETFs - Monthly,SRF_LP,,0,0.0,,,,,,
Global_ETFs - Monthly,DMV,0.790813031048276,9,0.606874942779541,0.5,,,2.0,,
Global_ETFs - Monthly,DMV_Yager,0.8848322152016616,9,0.8173935413360596,0.5,,,2.0,,
Global_ETFs - Monthly,DMV_Return,0.6978691126582842,9,0.6192348003387451,10.0,,,2.0,,
Global_ETFs - Monthly,DMV_Vars,0.8607710900101843,9,0.6166017055511475,10.0,,,2.0,,
Global_ETFs - Monthly,EWMV,0.8656042825351968,15,0.9874281883239746,10.0,,,,0.1,
Global_ETFs - Monthly,RP,,0,0.0,,,,,,
Global_ETFs - Monthly,HRP,,0,0.0,,,,,,
Global_ETFs - Monthly,CVaR,0.8819483461229188,3,0.2715756893157959,,,,,,0.9
Global_ETFs - Monthly,MAD,1.0499457148890574,3,0.28887033462524414,10.0,,,,,
