Block,Strategy,Annual Return (%),Annual Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Sortino Ratio,Turnover (Annual),Deflated Sharpe Ratio
1,Equally Weighted,14.059,19.784,0.711,-13.945,1.008,1.442,0.0,
1,Global Max Return,15.825,33.391,0.474,-25.981,0.609,0.839,7.059,
2,Global Min Variance,6.157,16.911,0.364,-14.295,0.431,0.643,4.703,
2,Mean-Variance,7.352,24.723,0.297,-19.478,0.377,0.684,8.257,0.597
2,Mean Squared Variance,10.522,24.674,0.426,-19.051,0.552,0.751,14.482,0.485
2,Mean-Semivariance,16.565,33.084,0.501,-26.388,0.628,0.898,7.532,0.727
3,Min-CVaR,6.219,15.242,0.408,-12.021,0.517,0.648,3.895,0.614
3,Mean-Abs. Deviation,4.436,17.358,0.256,-14.122,0.314,0.413,9.888,0.468
4,Weight Upper-Bound,6.133,17.158,0.357,-10.541,0.582,0.986,3.855,0.581
4,Weight Lower-Bound,10.155,22.024,0.461,-15.001,0.677,1.142,3.643,0.505
4,Weight-Constr. MV,7.772,17.373,0.447,-10.454,0.743,1.14,3.474,0.449
5,Max Diversification,6.656,17.74,0.375,-14.526,0.458,0.762,4.681,
5,Diversified MV,7.116,17.459,0.408,-9.912,0.718,1.026,4.872,0.556
5,DMV-Yager,14.059,19.784,0.711,-13.945,1.008,1.442,0.0,0.562
5,DMV-Return,12.086,17.474,0.692,-9.994,1.209,1.949,5.077,0.748
5,DMV-Vars,10.176,17.663,0.576,-10.096,1.008,1.613,2.789,0.665
5,EWMV Mixture,13.976,20.366,0.686,-13.746,1.017,1.609,0.717,0.61
6,First-Order SD,10.18,21.103,0.482,-14.987,0.679,1.396,7.813,
6,Second-Order SD,-0.824,28.252,-0.029,-32.859,-0.025,-0.054,10.483,
6,Soft Return-Floor LP,1.433,23.417,0.061,-22.345,0.064,0.142,9.23,
7,Risk Parity (ERC),11.454,18.404,0.622,-13.743,0.833,1.155,1.207,
7,Hierarchical RP,9.606,17.42,0.551,-12.888,0.745,1.158,2.662,
