Block,Strategy,Annual Return (%),Annual Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Sortino Ratio,Turnover (Annual),Deflated Sharpe Ratio
1,Equally Weighted,1.207,13.5,0.089,-22.32,0.054,0.162,0.0,
1,Global Max Return,6.001,17.462,0.344,-27.751,0.216,0.672,7.5,
2,Global Min Variance,-2.63,9.259,-0.284,-20.422,-0.129,-0.429,2.327,
2,Mean-Variance,2.277,12.454,0.183,-18.526,0.123,0.279,5.711,0.551
2,Mean Squared Variance,2.24,14.805,0.151,-17.642,0.127,0.402,8.242,0.485
2,Mean-Semivariance,6.686,17.259,0.387,-26.313,0.254,0.761,6.844,0.736
3,Min-CVaR,0.35,10.357,0.034,-20.618,0.017,0.062,3.987,0.473
3,Mean-Abs. Deviation,-1.36,9.116,-0.149,-16.593,-0.082,-0.241,4.09,0.268
4,Weight Upper-Bound,-0.075,12.658,-0.006,-21.445,-0.004,-0.01,1.585,0.341
4,Weight Lower-Bound,3.265,12.699,0.257,-16.249,0.201,0.43,1.797,0.516
4,Weight-Constr. MV,0.081,12.776,0.006,-21.56,0.004,0.012,1.52,0.351
5,Max Diversification,-3.489,11.292,-0.309,-21.66,-0.161,-0.492,2.986,
5,Diversified MV,0.968,13.152,0.074,-20.865,0.046,0.124,1.488,0.387
5,DMV-Yager,1.207,13.5,0.089,-22.32,0.054,0.162,0.0,0.338
5,DMV-Return,4.814,12.498,0.385,-15.829,0.304,0.616,3.523,0.626
5,DMV-Vars,1.0,12.472,0.08,-19.445,0.051,0.14,1.54,0.403
5,EWMV Mixture,1.314,13.048,0.101,-20.693,0.064,0.189,0.571,0.377
6,First-Order SD,-0.452,13.745,-0.033,-22.769,-0.02,-0.063,6.971,
6,Second-Order SD,7.154,16.754,0.427,-25.875,0.276,0.763,7.432,
6,Soft Return-Floor LP,7.277,16.261,0.447,-24.711,0.294,0.735,6.841,
7,Risk Parity (ERC),-0.179,12.135,-0.015,-21.406,-0.008,-0.026,0.918,
7,Hierarchical RP,-1.537,11.169,-0.138,-21.64,-0.071,-0.227,2.559,
