Block,Strategy,Annual Return (%),Annual Volatility (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Sortino Ratio,Turnover (Annual),Deflated Sharpe Ratio
1,Equally Weighted,4.796,31.893,0.15,-50.394,0.095,0.213,0.0,
1,Global Max Return,15.002,50.22,0.299,-63.696,0.236,0.426,5.6,
2,Global Min Variance,-4.164,25.894,-0.161,-49.487,-0.084,-0.225,2.853,
2,Mean-Variance,1.823,26.846,0.068,-44.227,0.041,0.095,3.584,0.481
2,Mean Squared Variance,11.588,30.692,0.378,-39.682,0.292,0.655,9.376,0.642
2,Mean-Semivariance,15.002,50.22,0.299,-63.696,0.236,0.426,5.6,0.575
3,Min-CVaR,20.779,32.96,0.63,-42.51,0.489,1.114,4.488,0.83
3,Mean-Abs. Deviation,-8.26,27.228,-0.303,-50.342,-0.164,-0.466,7.727,0.272
4,Weight Upper-Bound,2.948,26.779,0.11,-44.11,0.067,0.16,2.997,0.467
4,Weight Lower-Bound,2.93,29.643,0.099,-48.531,0.06,0.146,2.007,0.501
4,Weight-Constr. MV,4.372,29.479,0.148,-48.334,0.09,0.214,1.566,0.498
5,Max Diversification,-8.237,27.839,-0.296,-52.097,-0.158,-0.438,3.059,
5,Diversified MV,-1.645,27.481,-0.06,-47.878,-0.034,-0.086,1.915,0.383
5,DMV-Yager,1.637,31.755,0.052,-52.248,0.031,0.072,0.7,0.444
5,DMV-Return,-3.608,29.132,-0.124,-50.851,-0.071,-0.182,3.552,0.344
5,DMV-Vars,-2.023,28.39,-0.071,-48.608,-0.042,-0.104,2.063,0.377
5,EWMV Mixture,3.904,30.031,0.13,-48.559,0.08,0.183,1.075,0.504
6,First-Order SD,5.031,34.957,0.144,-56.147,0.09,0.196,6.443,
6,Second-Order SD,9.497,42.672,0.223,-57.351,0.166,0.357,7.575,
6,Soft Return-Floor LP,-8.333,37.791,-0.22,-63.804,-0.131,-0.293,9.082,
7,Risk Parity (ERC),0.898,29.526,0.03,-49.231,0.018,0.044,0.812,
7,Hierarchical RP,-0.951,28.004,-0.034,-49.051,-0.019,-0.049,2.218,
