Block,Strategy,Full Name,HHI (Dow_Jones_30),EffN (Dow_Jones_30),HHI (Global_ETFs),EffN (Global_ETFs),HHI (Tech_Sector),EffN (Tech_Sector)
1,EW,Equally Weighted,0.034,29.0,0.071,14.0,0.083,12.0
1,GMR,Global Max Return,1.0,1.0,1.0,1.0,1.0,1.0
2,GMV,Global Min Variance,0.132,7.6,0.225,4.4,0.207,4.8
2,MSV,Mean Squared Variance,0.229,4.4,0.183,5.5,0.236,4.2
2,MV,Mean-Variance,0.605,1.7,0.383,2.6,0.263,3.8
2,SemiV,Mean-Semivariance,0.92,1.1,0.985,1.0,1.0,1.0
3,CVaR,Min-CVaR,0.27,3.7,0.503,2.0,0.665,1.5
3,MAD,Mean-Abs. Deviation,0.278,3.6,0.492,2.0,0.463,2.2
4,WLBC,Weight Lower-Bound,0.165,6.0,0.152,6.6,0.132,7.6
4,WUBC,Weight Upper-Bound,0.091,11.0,0.097,10.3,0.234,4.3
4,WUBC_Alt,Weight-Constr. MV,0.074,13.5,0.093,10.7,0.12,8.3
5,DMV,Diversified MV,0.113,8.9,0.087,11.5,0.128,7.8
5,DMV_Return,DMV-Return,0.119,8.4,0.135,7.4,0.134,7.5
5,DMV_Vars,DMV-Vars,0.065,15.4,0.095,10.6,0.121,8.3
5,DMV_Yager,DMV-Yager,0.034,29.0,0.071,14.0,0.088,11.3
5,EWMV,EWMV Mixture,0.043,23.5,0.075,13.4,0.099,10.1
5,MD,Max Diversification,0.117,8.5,0.163,6.1,0.158,6.3
6,FSD,First-Order SD,0.362,2.8,0.284,3.5,0.256,3.9
6,SRF_LP,Soft Return-Floor LP,0.718,1.4,0.773,1.3,0.78,1.3
6,SSD,Second-Order SD,0.669,1.5,0.843,1.2,0.748,1.3
7,HRP,Hierarchical RP,0.051,19.7,0.113,8.8,0.109,9.2
7,RP,Risk Parity (ERC),0.041,24.7,0.084,11.9,0.092,10.8
