Dataset,Block,Strategy,Full Name,Ann. Turnover,Sharpe (0bps),Sharpe (10bps),Sharpe (20bps)
Dow_Jones_30,1,EW,Equally Weighted,0.0,0.711,0.711,0.711
Dow_Jones_30,1,GMR,Global Max Return,7.1,0.494,0.474,0.454
Dow_Jones_30,2,GMV,Global Min Variance,4.7,0.39,0.364,0.339
Dow_Jones_30,2,MSV,Mean Squared Variance,14.5,0.482,0.426,0.371
Dow_Jones_30,2,MV,Mean-Variance,8.3,0.329,0.297,0.266
Dow_Jones_30,2,SemiV,Mean-Semivariance,7.5,0.522,0.501,0.479
Dow_Jones_30,3,CVaR,Min-CVaR,3.9,0.431,0.408,0.385
Dow_Jones_30,3,MAD,Mean-Abs. Deviation,9.9,0.309,0.256,0.202
Dow_Jones_30,4,WLBC,Weight Lower-Bound,3.6,0.477,0.461,0.446
Dow_Jones_30,4,WUBC,Weight Upper-Bound,3.9,0.379,0.357,0.336
Dow_Jones_30,4,WUBC_Alt,Weight-Constr. MV,3.5,0.466,0.447,0.428
Dow_Jones_30,5,DMV,Diversified MV,4.9,0.434,0.408,0.381
Dow_Jones_30,5,DMV_Return,DMV-Return,5.1,0.719,0.692,0.664
Dow_Jones_30,5,DMV_Vars,DMV-Vars,2.8,0.591,0.576,0.561
Dow_Jones_30,5,DMV_Yager,DMV-Yager,0.0,0.711,0.711,0.711
Dow_Jones_30,5,EWMV,EWMV Mixture,0.7,0.689,0.686,0.683
Dow_Jones_30,5,MD,Max Diversification,4.7,0.4,0.375,0.351
Dow_Jones_30,6,FSD,First-Order SD,7.8,0.519,0.482,0.446
Dow_Jones_30,6,SRF_LP,Soft Return-Floor LP,9.2,0.098,0.061,0.024
Dow_Jones_30,6,SSD,Second-Order SD,10.5,0.006,-0.029,-0.064
Dow_Jones_30,7,HRP,Hierarchical RP,2.7,0.566,0.551,0.537
Dow_Jones_30,7,RP,Risk Parity (ERC),1.2,0.628,0.622,0.616
Global_ETFs,1,EW,Equally Weighted,0.0,0.089,0.089,0.089
Global_ETFs,1,GMR,Global Max Return,7.5,0.384,0.344,0.303
Global_ETFs,2,GMV,Global Min Variance,2.3,-0.26,-0.284,-0.308
Global_ETFs,2,MSV,Mean Squared Variance,8.2,0.206,0.151,0.097
Global_ETFs,2,MV,Mean-Variance,5.7,0.227,0.183,0.138
Global_ETFs,2,SemiV,Mean-Semivariance,6.8,0.424,0.387,0.35
Global_ETFs,3,CVaR,Min-CVaR,4.0,0.071,0.034,-0.004
Global_ETFs,3,MAD,Mean-Abs. Deviation,4.1,-0.106,-0.149,-0.192
Global_ETFs,4,WLBC,Weight Lower-Bound,1.8,0.27,0.257,0.244
Global_ETFs,4,WUBC,Weight Upper-Bound,1.6,0.006,-0.006,-0.018
Global_ETFs,4,WUBC_Alt,Weight-Constr. MV,1.5,0.018,0.006,-0.005
Global_ETFs,5,DMV,Diversified MV,1.5,0.085,0.074,0.063
Global_ETFs,5,DMV_Return,DMV-Return,3.5,0.412,0.385,0.358
Global_ETFs,5,DMV_Vars,DMV-Vars,1.5,0.092,0.08,0.068
Global_ETFs,5,DMV_Yager,DMV-Yager,0.0,0.089,0.089,0.089
Global_ETFs,5,EWMV,EWMV Mixture,0.6,0.105,0.101,0.096
Global_ETFs,5,MD,Max Diversification,3.0,-0.283,-0.309,-0.335
Global_ETFs,6,FSD,First-Order SD,7.0,0.016,-0.033,-0.082
Global_ETFs,6,SRF_LP,Soft Return-Floor LP,6.8,0.487,0.447,0.408
Global_ETFs,6,SSD,Second-Order SD,7.4,0.468,0.427,0.385
Global_ETFs,7,HRP,Hierarchical RP,2.6,-0.115,-0.138,-0.16
Global_ETFs,7,RP,Risk Parity (ERC),0.9,-0.007,-0.015,-0.022
Tech_Sector,1,EW,Equally Weighted,0.0,0.15,0.15,0.15
Tech_Sector,1,GMR,Global Max Return,5.6,0.309,0.299,0.288
Tech_Sector,2,GMV,Global Min Variance,2.9,-0.15,-0.161,-0.171
Tech_Sector,2,MSV,Mean Squared Variance,9.4,0.407,0.378,0.348
Tech_Sector,2,MV,Mean-Variance,3.6,0.081,0.068,0.055
Tech_Sector,2,SemiV,Mean-Semivariance,5.6,0.309,0.299,0.288
Tech_Sector,3,CVaR,Min-CVaR,4.5,0.644,0.63,0.616
Tech_Sector,3,MAD,Mean-Abs. Deviation,7.7,-0.276,-0.303,-0.331
Tech_Sector,4,WLBC,Weight Lower-Bound,2.0,0.105,0.099,0.092
Tech_Sector,4,WUBC,Weight Upper-Bound,3.0,0.121,0.11,0.099
Tech_Sector,4,WUBC_Alt,Weight-Constr. MV,1.6,0.153,0.148,0.143
Tech_Sector,5,DMV,Diversified MV,1.9,-0.053,-0.06,-0.067
Tech_Sector,5,DMV_Return,DMV-Return,3.6,-0.112,-0.124,-0.136
Tech_Sector,5,DMV_Vars,DMV-Vars,2.1,-0.064,-0.071,-0.078
Tech_Sector,5,DMV_Yager,DMV-Yager,0.7,0.054,0.052,0.049
Tech_Sector,5,EWMV,EWMV Mixture,1.1,0.133,0.13,0.127
Tech_Sector,5,MD,Max Diversification,3.1,-0.285,-0.296,-0.307
Tech_Sector,6,FSD,First-Order SD,6.4,0.162,0.144,0.126
Tech_Sector,6,SRF_LP,Soft Return-Floor LP,9.1,-0.197,-0.22,-0.244
Tech_Sector,6,SSD,Second-Order SD,7.6,0.24,0.223,0.205
Tech_Sector,7,HRP,Hierarchical RP,2.2,-0.026,-0.034,-0.042
Tech_Sector,7,RP,Risk Parity (ERC),0.8,0.033,0.03,0.028
