Dataset,Strategy,IS_Sharpe,N_Trials,Grid_Search_s,risk_aversion,upper_bound,lower_bound,diversification_factor,mixture_factor,alpha
Tech_Sector - Daily,EW,,0,0.0,,,,,,
Tech_Sector - Daily,GMV,,0,0.0,,,,,,
Tech_Sector - Daily,GMR,,0,0.0,,,,,,
Tech_Sector - Daily,MD,,0,0.0,,,,,,
Tech_Sector - Daily,MV,1.1974490657269596,3,5.0473997592926025,10.0,,,,,
Tech_Sector - Daily,MSV,1.3083004922416746,5,17.658411502838135,0.7,,,,,
Tech_Sector - Daily,SemiV,0.6544157935647782,5,8.724524974822998,0.9,,,,,
Tech_Sector - Daily,WUBC,1.185406193189791,9,14.73760175704956,10.0,0.1,,,,
Tech_Sector - Daily,WLBC,1.2484444133342532,9,14.799925088882446,10.0,,0.05,,,
Tech_Sector - Daily,WUBC_Alt,1.2332355125686114,27,45.99246120452881,10.0,0.3,0.05,,,
Tech_Sector - Daily,FSD,,0,0.0,,,,,,
Tech_Sector - Daily,SSD,,0,0.0,,,,,,
Tech_Sector - Daily,SRF_LP,,0,0.0,,,,,,
Tech_Sector - Daily,DMV,1.1888464077977625,9,15.393467903137207,10.0,,,2.0,,
Tech_Sector - Daily,DMV_Yager,1.2106743447693358,9,19.81721782684326,0.5,,,2.0,,
Tech_Sector - Daily,DMV_Return,1.185847557576467,9,15.903340101242065,10.0,,,0.5,,
Tech_Sector - Daily,DMV_Vars,1.1813409488253475,9,16.124608993530273,10.0,,,2.0,,
Tech_Sector - Daily,EWMV,1.2293089851286734,15,25.491333484649658,10.0,,,,0.5,
Tech_Sector - Daily,RP,,0,0.0,,,,,,
Tech_Sector - Daily,HRP,,0,0.0,,,,,,
Tech_Sector - Daily,CVaR,1.1093597830478328,3,18.295384883880615,,,,,,0.9
Tech_Sector - Daily,MAD,1.2414762105805464,3,42.17345857620239,0.5,,,,,
