Dataset,Strategy,IS_Sharpe,N_Trials,Grid_Search_s,risk_aversion,upper_bound,lower_bound,diversification_factor,mixture_factor,alpha
Tech_Sector - Monthly,EW,,0,0.0,,,,,,
Tech_Sector - Monthly,GMV,,0,0.0,,,,,,
Tech_Sector - Monthly,GMR,,0,0.0,,,,,,
Tech_Sector - Monthly,MD,,0,0.0,,,,,,
Tech_Sector - Monthly,MV,1.5149306261539022,3,0.17937374114990234,10.0,,,,,
Tech_Sector - Monthly,MSV,1.7309575359517293,5,18.003246307373047,0.7,,,,,
Tech_Sector - Monthly,SemiV,0.8302271272954146,5,0.29681825637817383,0.3,,,,,
Tech_Sector - Monthly,WUBC,1.5307033737829774,9,0.5293974876403809,10.0,0.3,,,,
Tech_Sector - Monthly,WLBC,1.6376850603558224,9,0.5715823173522949,10.0,,0.05,,,
Tech_Sector - Monthly,WUBC_Alt,1.6497724666920075,27,1.656062364578247,10.0,0.2,0.05,,,
Tech_Sector - Monthly,FSD,,0,0.0,,,,,,
Tech_Sector - Monthly,SSD,,0,0.0,,,,,,
Tech_Sector - Monthly,SRF_LP,,0,0.0,,,,,,
Tech_Sector - Monthly,DMV,1.5316920804705965,9,0.55499267578125,10.0,,,2.0,,
Tech_Sector - Monthly,DMV_Yager,1.5825424988475438,9,0.7416388988494873,10.0,,,2.0,,
Tech_Sector - Monthly,DMV_Return,1.5644507033911639,9,0.563103437423706,10.0,,,2.0,,
Tech_Sector - Monthly,DMV_Vars,1.5197555367896523,9,0.549511194229126,10.0,,,2.0,,
Tech_Sector - Monthly,EWMV,1.6129845715562994,15,0.9396491050720215,10.0,,,,0.3,
Tech_Sector - Monthly,RP,,0,0.0,,,,,,
Tech_Sector - Monthly,HRP,,0,0.0,,,,,,
Tech_Sector - Monthly,CVaR,1.1191081244002758,3,0.27155160903930664,,,,,,0.95
Tech_Sector - Monthly,MAD,1.6056817337867535,3,0.2766544818878174,2.0,,,,,
